"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/17/2009","09:31","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:31","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:32","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","09:33","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
